Date,Name,Year,Letterboxd URI
2022-02-03,Cape Fear,1991,https://boxd.it/28vu
2022-02-03,Red Dragon,2002,https://boxd.it/1Yrs
2022-02-06,Life Itself,2014,https://boxd.it/7lqC
2022-02-08,The Fallout,2021,https://boxd.it/tViI
2022-02-15,The Last Temptation of Christ,1988,https://boxd.it/1ULe
2022-02-19,The Lost Daughter,2021,https://boxd.it/kgww
2022-02-20,Bad Boys,1995,https://boxd.it/1XVG
2022-02-20,Bad Boys II,2003,https://boxd.it/1ZuW
2022-02-20,Downsizing,2017,https://boxd.it/9Ajq
2022-02-20,A Ghost Story,2017,https://boxd.it/fb0K
2022-03-01,My Own Private Idaho,1991,https://boxd.it/2ak4
2022-03-01,Short Term 12,2013,https://boxd.it/5f6s
2022-03-02,Eraserhead,1977,https://boxd.it/299u
2022-03-02,Mulholland Drive,2001,https://boxd.it/297o
2022-03-03,Collateral,2004,https://boxd.it/28F0
2022-03-03,The Worst Person in the World,2021,https://boxd.it/oyws
2022-03-08,The Suicide Squad,2021,https://boxd.it/fw6O
2022-03-13,Fresh,2022,https://boxd.it/tCNi
2022-03-13,Us,2019,https://boxd.it/gnV6
2022-03-13,The Master,2012,https://boxd.it/2cBG
2022-03-22,The Fly,1986,https://boxd.it/1YIe
2022-04-05,CODA,2021,https://boxd.it/tbf4
2022-04-05,Zack Snyder's Justice League,2021,https://boxd.it/tLOk
2022-04-07,Dirty Rotten Scoundrels,1988,https://boxd.it/1WZi
2022-04-24,The Departed,2006,https://boxd.it/28MA
2022-04-27,District 9,2009,https://boxd.it/1Iik
2022-04-28,The Place Beyond the Pines,2012,https://boxd.it/3mDu
2022-04-30,Balls of Fury,2007,https://boxd.it/1XTK
2022-05-03,A League of Their Own,1992,https://boxd.it/1UdG
2022-05-03,Big,1988,https://boxd.it/271S
2022-05-21,Chronicle,2012,https://boxd.it/2Emk
2022-05-22,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8
2022-06-04,The Bob's Burgers Movie,2022,https://boxd.it/if7w
2022-06-08,A Few Good Men,1992,https://boxd.it/29nw
2022-06-08,Accidental Love,2015,https://boxd.it/acfG
2022-06-08,Steve Jobs,2015,https://boxd.it/araG
2022-06-14,Hustle,2022,https://boxd.it/qpig
2022-07-08,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk
2022-07-08,The Quiet Girl,2022,https://boxd.it/yvgm
2022-07-08,The Northman,2022,https://boxd.it/nK2s
2022-07-10,Minions: The Rise of Gru,2022,https://boxd.it/fz9w
2022-07-28,The Intouchables,2011,https://boxd.it/2FT0
2022-08-06,Thirteen Lives,2022,https://boxd.it/q7O4
2022-09-02,Eden Lake,2008,https://boxd.it/1Q1m
2022-09-03,Doctor Sleep,2019,https://boxd.it/i5vI
2022-09-05,Million Dollar Baby,2004,https://boxd.it/2bdI
2022-09-05,Orphan,2009,https://boxd.it/1CgM
2022-09-05,The Sting,1973,https://boxd.it/1Z5s
